,INST,EN_TIME,EN_ID,EN_TT,EN_Q,EN_PRICE,EN_CODE,EN_VAR,EX_TIME,EX_ID,EX_TT,EX_Q,EX_PRICE,EX_CODE,EX_VAR,P&L,ROI,P&L %,ROI %,Equity Curve,Drawdown %
0,NSE_FO:BANKNIFTY02FEB2341000PE [LOCAL],2023-02-01 14:15:00+05:30,86b02e0b98db44a79ebe37c555335112,BUY,25,272.8,DELIVERY_T0,MARKET,2023-02-02 09:15:00+05:30,0f807d09f6914923849fbfc0b98c2c8e,SELL,25.0,1000.0,DELIVERY_T0,MARKET,18180.0,18180.0,266.57,36.36,68180.0,0.0
1,NSE_FO:BANKNIFTY02FEB2341000PE [LOCAL],2023-02-02 09:15:00+05:30,82191f7f5c574750bc415976e13c88e9,BUY,25,272.8,DELIVERY_T0,LIMIT,,,,,,,,,,,,,
